name,url,title,summary,images,infobox_data.Coordinates,infobox_data.Type,infobox_data.Height,infobox_data.Owner,infobox_data.Controlled by,infobox_data.Open tothe public,infobox_data.Condition,infobox_data.Materials,infobox_data.Demolished,infobox_data.Battles/wars,infobox_data.Pastcommanders,infobox_data.Occupants,infobox_data.Built,infobox_data.Built by,infobox_data.In use,infobox_data.Location,infobox_data.Elevation,infobox_data.Construction started,infobox_data.Completed,infobox_data.Destroyed,infobox_data.Architect(s),infobox_data.Country,infobox_data.Address,infobox_data.Town or city,infobox_data.Construction stopped,infobox_data.Current tenants,infobox_data.Client,infobox_data.Grade,infobox_data.English translation,infobox_data.Language of name,infobox_data.Parent range,infobox_data.Mountain type,infobox_data.Architectural style,infobox_data.Structural system,infobox_data.State,infobox_data.District,infobox_data.• Body,infobox_data.• Total,infobox_data.• Official,infobox_data.Time zone,infobox_data.ISO 3166 code,infobox_data.Vehicle registration,infobox_data.Website,infobox_data.Architect,infobox_data.Garrison,infobox_data.Currentcommander,infobox_data.Easiest route
Kandhar Fort,https://en.wikipedia.org/wiki/Kandhar_Fort,Kandhar Fort,"Kandhar Fort or Kandhar Khilla is a fort located in Kandhar,  Nanded district in the state of Maharashtra, India.[2] Its construction attributed to the Rashtrakuta King Krishna III of Malkhed.[3]
","['/static/images/icons/wikipedia.png', '/static/images/mobile/copyright/wikipedia-wordmark-en.svg', '/static/images/mobile/copyright/wikipedia-tagline-en.svg']",18°54′02″N 77°12′05″E﻿ / ﻿18.9005°N 77.2014°E﻿ / 18.9005; 77.2014,Fort,"410 metres (1,350 ft)",Government of India,Government of Maharashtra,Yes,good,"Black Stones,Cement",,,,,939-967[1],Krishna III,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kanchana Fort,https://en.wikipedia.org/wiki/Kanchana_Fort,Kanchana Fort,"Kanchana Fort is a hill fort in the Nashik district of Maharashtra. The fort is located in the Ajantha-Saatmal Mountain range.[1] The height of the hill in which the fort is located is 1368m or 4490 ft. Kalwan is the name of the village where the hill is situated.[2]
","['/static/images/icons/wikipedia.png', '/static/images/mobile/copyright/wikipedia-wordmark-en.svg', '/static/images/mobile/copyright/wikipedia-tagline-en.svg']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karnala Fort,https://en.wikipedia.org/wiki/Karnala_Fort,Karnala Fort,"Karnala Fort (also called Funnel Hill[1]) is a hill fort in Raigad district, Maharashtra, India, about 10 km from Panvel city. Currently it is a protected place lying within the Karnala Bird Sanctuary. It was a place of strategic importance since it overlooked the Bor pass, which connected the Konkan coast to the interior of Maharashtra (Deccan Plateau)[1] on the main trade route between these areas.
","['/static/images/icons/wikipedia.png', '/static/images/mobile/copyright/wikipedia-wordmark-en.svg', '/static/images/mobile/copyright/wikipedia-tagline-en.svg']",18°52′54″N 73°07′05″E﻿ / ﻿18.88167°N 73.11806°E﻿ / 18.88167; 73.11806,Hill fort,"439 m (1,440 ft) ASL",Government of India,"Ahmednagar sultanate, Portuguese, Marathas, British East India Company",Yes from 6am to 6pm.,Ruins,Stone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kelve Fort,https://en.wikipedia.org/wiki/Kelve_Fort,Kelve Fort,"Kelve Fort, or Kelva Fort (Marathi: केळवे किल्ला), is a fort in the Thane district of Maharashtra, located 12.5 km from Palghar. This fort is amidst the Casuarina plantation on the Kelwa Beach. This fort is in ruined condition. The outer walls, steps, parapets, bastions etc are still of solid masonry are in excellent order and worth seeing. The half of the fort is below the sandy beach level. The fort is located in the Mangelwada of Kelve village. There is a small Kelve pankot on the mouth of the Kelve creek.
","['/static/images/icons/wikipedia.png', '/static/images/mobile/copyright/wikipedia-wordmark-en.svg', '/static/images/mobile/copyright/wikipedia-tagline-en.svg']",19°37′05.1″N 72°43′41.8″E﻿ / ﻿19.618083°N 72.728278°E﻿ / 19.618083; 72.728278,Sea Fort,at MSL,Government of India,"Portugal (1594) Maratha Confederacy (1739-1818) United Kingdom
 East India Company (1818-1857)
 British Raj (1857-1947)
 India (1947-)",Yes,Ruins,Black Basalt Stone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolaba Fort,https://en.wikipedia.org/wiki/Kolaba_Fort,Kolaba Fort,"Kolaba Fort located at Alibag beach is an old fortified maritime base in Alibag, Konkan, India. It is situated in the sea at a distance of 1–2 km from the shores of Alibag, 35 km south of Mumbai, in the Konkan region of Maharashtra, India. It is a popular tourist destination and a protected monument.[1]
","['/static/images/icons/wikipedia.png', '/static/images/mobile/copyright/wikipedia-wordmark-en.svg', '/static/images/mobile/copyright/wikipedia-tagline-en.svg']",18°38′04″N 72°51′51″E﻿ / ﻿18.6344°N 72.8642°E﻿ / 18.6344; 72.8642,,sea level,,Indian Govt.,Yes,Fairly good,stone,,,,Nil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koldher Fort,https://en.wikipedia.org/wiki/Koldher_Fort,Koldher Fort,"Koldher Fort is a fort located 11.26 km (7.00 mi) from chandwad, Nashik district, of Maharashtra. This fort is close to the Rajdher fort and lies westwards. It requires about 1-2 hours to reach the fort from Rajdher.
","['/static/images/icons/wikipedia.png', '/static/images/mobile/copyright/wikipedia-wordmark-en.svg', '/static/images/mobile/copyright/wikipedia-tagline-en.svg']",20°22′42.5″N 74°10′12.3″E﻿ / ﻿20.378472°N 74.170083°E﻿ / 20.378472; 74.170083,Hill fort,,Government of India,"Maratha Confederacy (1752-1818) United Kingdom
 East India Company (1818-1857)
 British Raj (1857-1947)
 India (1947-)",Yes,Ruins,Stone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Konkan Diva Fort,https://en.wikipedia.org/wiki/Konkan_Diva_Fort,Konkan Diva Fort,"Konkandiva Fort (transliteration: Konkandiva Qilа̄) is a fort located 70 km from Pune in Maharashtra. This fort is on the boundary of Raigad and Pune district. The fort was important as a surveillance fort to keep watch on the possible attack on the Raigad fort  through Ghol Village side along the Mutha river.[1]
","['/static/images/icons/wikipedia.png', '/static/images/mobile/copyright/wikipedia-wordmark-en.svg', '/static/images/mobile/copyright/wikipedia-tagline-en.svg']",18°17′39.2″N 73°25′21.8″E﻿ / ﻿18.294222°N 73.422722°E﻿ / 18.294222; 73.422722,Hill fort,2953 Ft.,Government of India,"Maratha Confederacy (1739–1818) United Kingdom
 East India Company (1818–1857)
 British Raj (1857–1947)
 India (1947-)",Yes,Ruins,Stone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Korlai Fort,https://en.wikipedia.org/wiki/Korlai_Fort,Korlai Fort,"Korlai Fort is a colonial fort in the Raigad district of Maharashtra, India.[2] Formerly a part of Chaul in Portuguese India,[3] the structure is a specimen of Portuguese colonial architecture.[2] It was built as a companion to the fort at Chaul, at this strategic position the Portuguese could use it to defend their province which stretched from Korlai to the Fort Bassein.[4] Vestiges of the Portuguese occupation are manifested in the distinct dialect of the Korlai villages inhabitants which is a Luso-Indian creole called Korlai Portuguese Creole.
","['/static/images/icons/wikipedia.png', '/static/images/mobile/copyright/wikipedia-wordmark-en.svg', '/static/images/mobile/copyright/wikipedia-tagline-en.svg']",18°32′9″N 72°54′29″E﻿ / ﻿18.53583°N 72.90806°E﻿ / 18.53583; 72.90806,Island fort,,Government of India,"Ahmadnagar (1521-1594) Portugal (1594-1739) Maratha Confederacy (1739-1818) United Kingdom
 East India Company (1818-1857)
 British Raj (1857-1947)
 India (1947-)",Yes,Ruins,Stone,1594,,,,1521,Dom Filipe Mascarenhas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kulang Fort,https://en.wikipedia.org/wiki/Kulang_Fort,Kulang Fort,"Kulang fort (कुलंग गड ) is located in the Igatpuri area of Nashik district, on the western side of the Kalsubai hill range. This fort is adjacent to the Madangad and Alang forts, all of which were constructed to protect the Nashik-Kalyan ancient commercial road.
","['/static/images/icons/wikipedia.png', '/static/images/mobile/copyright/wikipedia-wordmark-en.svg', '/static/images/mobile/copyright/wikipedia-tagline-en.svg']",19°35′30.1″N 73°38′21.4″E﻿ / ﻿19.591694°N 73.639278°E﻿ / 19.591694; 73.639278,Hill fort,4825 feet[1][2],Government of India,,Yes,Ruins,Stone,,,,,Satvahan Era,,,,,,,,,,,,,,,Tough,,,,,,,,,,,,,,,,,,,
Madangad Fort,https://en.wikipedia.org/wiki/Madangad_Fort,Madangad Fort,"Madangad is a fort in the Nashik region of Maharashtra, India in the Kalsubai range.
","['/static/images/icons/wikipedia.png', '/static/images/mobile/copyright/wikipedia-wordmark-en.svg', '/static/images/mobile/copyright/wikipedia-tagline-en.svg']",19°35′23″N 73°38′57″E﻿ / ﻿19.5896°N 73.6492°E﻿ / 19.5896; 73.6492,,,,,,,,,,,,,,,"Ambewadi, Maharashtra, India",4900 ft,,,,,,,,,,,,मदनगड,Marathi,Western Ghats,Hill Fort,,,,,,,,,,,,,,,
Madh Fort,https://en.wikipedia.org/wiki/Madh_Fort,Madh Island,"Madh Island (Marathi pronunciation: [məɖʱ]) is a group of several quaint fishing villages and farmlands in northern Mumbai.
","['/static/images/icons/wikipedia.png', '/static/images/mobile/copyright/wikipedia-wordmark-en.svg', '/static/images/mobile/copyright/wikipedia-tagline-en.svg']",19°07′56″N 72°47′41″E﻿ / ﻿19.132283°N 72.794785°E﻿ / 19.132283; 72.794785,Fort,,Indian Air Force,,,,,,,,,,,,"Malad, Mumbai",,,,,,,,,,,,,,,,,Portuguese Colonial,,,,,,,,,,,,,,
Mahim Fort,https://en.wikipedia.org/wiki/Mahim_Fort,Mahim Fort,"The Mahim Fort (Marathi: माहीम किल्ला) is a fort in Mahim in Mumbai, Maharashtra state, India.[2] Strategically located in the Mahim Bay, the fort overlooks Worli to the south, Bandra to the north, and Mahim to the east. The origins of the fort are unclear, but it occupies a strategic location that has been frequently contested.  The fort is currently in disrepair, suffering from administrative neglect, encroachment of slums, and exposure to tidal erosion.
","['/static/images/icons/wikipedia.png', '/static/images/mobile/copyright/wikipedia-wordmark-en.svg', '/static/images/mobile/copyright/wikipedia-tagline-en.svg']",19°02′23″N 72°50′16″E﻿ / ﻿19.039848°N 72.837768°E﻿ / 19.039848; 72.837768,Fort,,Government of Maharashtra[1],,,,,,,,,,,,"Mahim, Mumbai",1 m (3 ft 3 in),,16th century,,,,,,,Encroachments,Portuguese,,,,,,,Deccan-trap basalt,,,,,,,,,,,,,
Mahur Fort,https://en.wikipedia.org/wiki/Mahur_Fort,Mahur Fort,"Mahurgad Fort  (Marathi: माहूरगड) is a fort located 130 km (81 mi) from Nanded. The fort is in Mahur taluka in Nanded district, of Maharashtra. It is a pilgrimage centre of great significance to Hindus. It is the seat of goddess Renukadevi which is a shrine of shaktipeeth. The temple of goddess is situated 2 km from the village Mahur.[1]
","['/static/images/icons/wikipedia.png', '/static/images/mobile/copyright/wikipedia-wordmark-en.svg', '/static/images/mobile/copyright/wikipedia-tagline-en.svg']",19°50′09.5″N 77°55′32.5″E﻿ / ﻿19.835972°N 77.925694°E﻿ / 19.835972; 77.925694,Hill fort,2650 Ft,Government,"gond kingdom Bahmani Sultanate (1358-1527)Ahmadnagar Sultanate (1527-1617)Mughal Empire(1617-1670) Maratha Confederacy (1670-1689)Mughal Empire(1689-1724)Nizam of Hyderabad(1724-1948)
 India (1947-)",Yes,Ruined,Basalt Stone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manaranjan Fort,https://en.wikipedia.org/wiki/Manaranjan_Fort,Manaranjan Fort,"Manaranjan fort is one of the two hill forts that constitute the Rajmachi fortification, the other being Shrivardhan Fort.[1] It is located in Rajmachi village which 8.5 km from Lonavala in the Sahyadris mountain range. Manaranjan fort is 2700 feet high which makes it lower than the neighbouring Shreevardhan fort. It has three gates and large ramparts. From here Karnala fort can be seen.[2] There are some water tanks at the summit.
","['/static/images/icons/wikipedia.png', '/static/images/mobile/copyright/wikipedia-wordmark-en.svg', '/static/images/mobile/copyright/wikipedia-tagline-en.svg']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mangad Fort,https://en.wikipedia.org/wiki/Mangad_Fort,Mangad Fort,"Mangad Fort is a survey fort which is situated in Borwadi, an area near Mashidwadi in Mangaon, a taluka in Raigad district in the Indian state of Maharashtra.[1] The fort is made sacred by the footsteps of the founder of Hindavi Swaraj, the famous Maratha king Chhatrapati Shivaji Maharaja. Mangaon is situated about 150 km from Mumbai.
","['/static/images/icons/wikipedia.png', '/static/images/mobile/copyright/wikipedia-wordmark-en.svg', '/static/images/mobile/copyright/wikipedia-tagline-en.svg']",18°18′43.3″N 73°21′04″E﻿ / ﻿18.312028°N 73.35111°E﻿ / 18.312028; 73.35111,Hill fort,750 ft(234m),Government of India,,Yes,Ruins,Stone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fort Mangad,https://en.wikipedia.org/wiki/Fort_Mangad,Mangad Fort,"Mangad Fort is a survey fort which is situated in Borwadi, an area near Mashidwadi in Mangaon, a taluka in Raigad district in the Indian state of Maharashtra.[1] The fort is made sacred by the footsteps of the founder of Hindavi Swaraj, the famous Maratha king Chhatrapati Shivaji Maharaja. Mangaon is situated about 150 km from Mumbai.
","['/static/images/icons/wikipedia.png', '/static/images/mobile/copyright/wikipedia-wordmark-en.svg', '/static/images/mobile/copyright/wikipedia-tagline-en.svg']",18°18′43.3″N 73°21′04″E﻿ / ﻿18.312028°N 73.35111°E﻿ / 18.312028; 73.35111,Hill fort,750 ft(234m),Government of India,,Yes,Ruins,Stone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Markanda Fort,https://en.wikipedia.org/wiki/Markanda_Fort,Markanda Fort,"Markandya Fort/Markinda Fort/ Markanda fort  (Marathi: मार्कंड्या किल्ला, Hindi: मार्कंड्या क़िला, transliteration: Markandeya Qilа̄) is a fort located 52 km (32 mi)from Nashik, Nashik district, of Maharashtra. The base village is Mulane on the Wani-Kalwan Link Road. The nearest town is Wani, which is 5.5 km from Mulane village. This fort is opposite the  holy Saptashringi hill..
","['/static/images/icons/wikipedia.png', '/static/images/mobile/copyright/wikipedia-wordmark-en.svg', '/static/images/mobile/copyright/wikipedia-tagline-en.svg']",20°23′05.5″N 73°55′39.9″E﻿ / ﻿20.384861°N 73.927750°E﻿ / 20.384861; 73.927750,Hill fort,4383 Ft,Government of India,"Maratha Confederacy (1670-1818) United Kingdom
 East India Company (1818-1857)
 British Raj (1857-1947)
 India (1947-)",Yes,Ruins,Stone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mazagon Fort,https://en.wikipedia.org/wiki/Mazagon_Fort,Mazgaon Fort,"The Mazagaon Fort was a British fort in Mazagaon, Bombay (present-day Mumbai), in the Indian state of Maharashtra, built around 1680. The fort was razed by the Muslim Koli general, Yakut Khan in June 1690.[1][2][3][4] The fort was located at the present-day Joseph Baptista Gardens, atop Bhandarwada Hill outside the Dockyard Road railway station.[5]
","['/static/images/icons/wikipedia.png', '/static/images/mobile/copyright/wikipedia-wordmark-en.svg', '/static/images/mobile/copyright/wikipedia-tagline-en.svg']",18°57′56″N 72°50′34″E﻿ / ﻿18.965633°N 72.842703°E﻿ / 18.965633; 72.842703,Fort,,,,,,,8 June 1690,,,,,,,"Mazagaon, Mumbai",32 m (105 ft),,1680,,,,,,,,British,,,,,,,,,,,,,,,,,,,,
Naldurg Fort,https://en.wikipedia.org/wiki/Naldurg_Fort,Naldurg Fort,"Naldurg Fort is a historic fort in Naldurg town of Dharashiv district in Maharashtra state of India.[1] Naldurg Fort is named after Nalraja who built the fort in medieval architectural style. The unique feature of the fort is that it encloses a knoll of basalt rock which juts out into the valley of the small Bori River and a long fortification wall with many bastions.[2][3][4]  The Naldurg fort is one of the important ground forts in the Marathwada region.
","['/static/images/icons/wikipedia.png', '/static/images/mobile/copyright/wikipedia-wordmark-en.svg', '/static/images/mobile/copyright/wikipedia-tagline-en.svg']",17°49′N 76°18′E﻿ / ﻿17.82°N 76.3°E﻿ / 17.82; 76.3,,,Government of India,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panhala Fort,https://en.wikipedia.org/wiki/Panhala_Fort,Panhala Fort,"Panhala fort (also known as Panhalgad and Panhalla (literally ""the home of serpents"")), is located in Panhala, 20 kilometres northwest of Kolhapur in Maharashtra, India. It is strategically located looking over a pass in the Sahyadri mountain range which was a major trade route from Bijapur in the interior of Maharashtra to the coastal areas.[1] Due to its strategic location, it was the centre of several skirmishes in the Deccan involving the Marathas, the Mughals and the British the grand son's of chhatrapati shivaji maharaj East India Company, the most notable being the Battle of Pavan Khind. Here, the queen regent of Kolhapur, Tarabai Ranisaheb, spent her formative years. Several parts of the fort and the structures within are still intact. It is also called as the 'Fort of Snakes' as it is zigzagged in shape.[2]
","['/static/images/icons/wikipedia.png', '/static/images/mobile/copyright/wikipedia-wordmark-en.svg', '/static/images/mobile/copyright/wikipedia-tagline-en.svg']",16°48′32″N 74°06′33″E﻿ / ﻿16.80889°N 74.10917°E﻿ / 16.80889; 74.10917,Hill fort,"845 m (2,772 ft) ASL",Government of India,"Shilahara, Yadavas, Bijapur, Marathas, Mughals, East India Company",Yes,,"Stone, Lead",,Battle of Pavan Khind,"Bhoja II, Ibrahim Adil Shah I, Shivaji I, Aurangzeb, Tarabai","Sambhaji I, Ramchandra Pant Amatya",1178–1209 (construction)1489–1557 (expansion),"Bhoja II, Ibrahim Adil Shah I",1178–1947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paranda Fort,https://en.wikipedia.org/wiki/Paranda_Fort,Paranda Fort,"Paranda Fort is situated in Paranda, a small town in the Osmanabad district in the state of Maharashtra, India. It is protected monument by the Archaeological Survey Of India.[1] The fort may have been constructed in the 15th century by Mahmud Gawan[2] or by Murtaza Nizam Shah II in the early 1600s.[3] Paranda has great historical value and finde mention in Honnati inscription of Baka 1045 (A.D. 1924) and also later a few of the Kalyan Chalukyan an copper plates. As well as in Yadava epigraphs, as Pallyanda Pratyandaka. The fort is attraction in this Paranda town and is known to have been built by Mahmud Gavan, the Prime Ministar of Muhammad Shah Bahmani 2.
","['/static/images/icons/wikipedia.png', '/static/images/mobile/copyright/wikipedia-wordmark-en.svg', '/static/images/mobile/copyright/wikipedia-tagline-en.svg']",,Hill Fort,,"Archaeological Survey Of India, Government of India",Mahmud Gawan,Yes,Better,"Stone, Lead",,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parola Fort,https://en.wikipedia.org/wiki/Parola_Fort,"Parola, Maharashtra","Parola is a city and a municipal council in Jalgaon district in the Indian state of Maharashtra. It is located on the Hajira (Surat)–Dhule–Kolkata national highway 6. The municipal council was established by the British government before the independence of India. This City is centuries old known for the two main features such as the Shree Balaji Temple and The Parola fort Also known as the native of Rani Laxmibai of Jhansi. City and Fort Build by Jahagirdar Sadashiv Rao Damodar Newalkar the great grandfather in law of Rani Lakshmibai Jhansi.
","['/static/images/icons/wikipedia.png', '/static/images/mobile/copyright/wikipedia-wordmark-en.svg', '/static/images/mobile/copyright/wikipedia-tagline-en.svg']",,,,,,,,,,,,,,,,,261 m (856 ft),,,,,India,,,,,,,,,,,,,Maharashtra,Jalgaon,Municipal Council,"34,800",Marathi,UTC+5:30 (IST),IN-MH,MH 19,maharashtra.gov.in,,,,
Patta Fort,https://en.wikipedia.org/wiki/Patta_Fort,Patta Fort,"Patta Fort, or Patta Killa, also known as Vishramgad ( Marathi: पट्टा किल्ला ), is a fort situated between Nasik and Ahmadnagar in Maharashtra, India. The Indian ruler Shivaji I once visited and rested there. The residents of Patta Killa are known as Pattekar, meaning ""residents of Fort Patta"". Patta Fort stands approximately 1,392 metres (4,567 ft)  above sea level.
","['/static/images/icons/wikipedia.png', '/static/images/mobile/copyright/wikipedia-wordmark-en.svg', '/static/images/mobile/copyright/wikipedia-tagline-en.svg']",19°42′26.2″N 73°50′10.6″E﻿ / ﻿19.707278°N 73.836278°E﻿ / 19.707278; 73.836278,Hill fort,4562 Ft.,Government of India,,Yes,Good condition,Stone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raigad Fort,https://en.wikipedia.org/wiki/Raigad_Fort,Raigad Fort,"Raigad, situated in the Raigad district of Maharashtra, India, is a hill fort located in the town of Mahad. It is one of the strongest fortresses on the Deccan Plateau and was historically referred to as Rairee or Rairy fort.[1]
","['/static/images/icons/wikipedia.png', '/static/images/mobile/copyright/wikipedia-wordmark-en.svg', '/static/images/mobile/copyright/wikipedia-tagline-en.svg']",18°14′01″N 73°26′26″E﻿ / ﻿18.2335°N 73.4406°E﻿ / 18.2335; 73.4406,Hill fort,"1,356 metres (4,400 ft) ASL","Shirke kingdom (before 1656)
Maratha Kingdom (1656–1689; 1739–1818)
Mughal Empire (1689–1739)
East India Company (1818–1858)
Government of India",,Yes,,"Stone, Lead",,,Chatrapati ShivajiSambhaji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sardar Hiroji Indalkar,,,
Rajgad Fort,https://en.wikipedia.org/wiki/Rajgad_Fort,Rajgad Fort,"Rajgad (literal meaning ruling fort) is a Hill region fort situated in the Pune district of Maharashtra, India. Formerly known as Murumbdev, the fort was the first capital of the Maratha Empire under the rule of Chhatrapati Shivaji for almost 26 years, after which the capital was moved to the Raigad Fort.[1] Treasures discovered from an adjacent fort called Torna were used to completely build and fortify the Rajgad Fort.[citation needed]
","['/static/images/icons/wikipedia.png', '/static/images/mobile/copyright/wikipedia-wordmark-en.svg', '/static/images/mobile/copyright/wikipedia-tagline-en.svg']",18°14′46″N 73°40′56″E﻿ / ﻿18.2459862°N 73.6821929°E﻿ / 18.2459862; 73.6821929,Hill fort,1376 m,"Maratha Empire (1656–1689; 1707–1818)
Mughal Empire (1689–1707)
East India Company (1818–1858)
British Empire (1858–1947)
Government of India (1947–present)",,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chhatrapati Shivaji Maharaj,,,
Rangana Fort,https://en.wikipedia.org/wiki/Rangana_Fort,Rangana Fort,"Rangana Fort/ Prasiddhagad (Marathi: रांगणा  किल्ला) is located in the Bhudargad taluka of Kolhapur district. This fort is one of the important forts in the district. This fort is located on the Sahyadri mountain ridge, on the boundary of Sindhudurg and kolhapur district[1]
","['/static/images/icons/wikipedia.png', '/static/images/mobile/copyright/wikipedia-wordmark-en.svg', '/static/images/mobile/copyright/wikipedia-tagline-en.svg']",16°04′39″N 73°51′03″E﻿ / ﻿16.07750°N 73.85083°E﻿ / 16.07750; 73.85083,Hill fort,"2,227 ft (679 m)",Government of India,,Yes,Ruins,Laterite Stone,,,,,,,,,,,,,,,,,,,,Medium,,,,,,,,,,,,,,,,,,,
Ravlya Fort,https://en.wikipedia.org/wiki/Ravlya_Fort,Ravlya Fort,"Ravalya Fort  (Marathi: रवळ्या किल्ला, Hindi: रवल्या किला, transliteration: Ravalya Qilа̄)is located 43 km from Nashik, Nashik district, of Maharashtra. The Ravlya fort and Javlya fort are twin forts located on a single hill plateau. Ravlya on the west and the Javlya on the east side of the hill plateau.
","['/static/images/icons/wikipedia.png', '/static/images/mobile/copyright/wikipedia-wordmark-en.svg', '/static/images/mobile/copyright/wikipedia-tagline-en.svg']",20°22′19.5″N 73°58′14.1″E﻿ / ﻿20.372083°N 73.970583°E﻿ / 20.372083; 73.970583,Hill fort,4369 Ft.,government of India,"Mughal Empire(1636-1670) Maratha Confederacy (1670-1818) United Kingdom
 East India Company (1818-1857)
 British Raj (1859-1947)
 India (1947-)",yes,in ruins,Stone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riwa Fort,https://en.wikipedia.org/wiki/Riwa_Fort,Riwa Fort,"The Riwa Fort (also  Fort), locally known as Kala Qilla or Black Fort, is a fort in central Mumbai (Bombay), India on the banks of the Mithi River. The fort is currently in a dilapidated condition amidst the Dharavi slums. It was built by the Mughal governor of Bombay, Yakut Khan. It was part of the larger Bombay Castle, and marked the northern portion of Mughal-held Bombay in the 17th century. The castle was also used as a watchtower, guarding the territory against the Portuguese-held Salsette Island. The Riwa Fort was later captured by the Marathas.
","['/static/images/icons/wikipedia.png', '/static/images/mobile/copyright/wikipedia-wordmark-en.svg', '/static/images/mobile/copyright/wikipedia-tagline-en.svg']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sewri Fort,https://en.wikipedia.org/wiki/Sewri_Fort,Sewri Fort,"The Sewri Fort (also spelled Sewree Fort) (Marathi: शिवडी किल्ला) is a fort in Mumbai built by the British at Sewri. Built in 1680, fort served as a watch tower, atop a quarried hill overlooking the Mumbai harbour.[1]
","['/static/images/icons/wikipedia.png', '/static/images/mobile/copyright/wikipedia-wordmark-en.svg', '/static/images/mobile/copyright/wikipedia-tagline-en.svg']",19°00′02″N 72°51′37″E﻿ / ﻿19.000635°N 72.860363°E﻿ / 19.000635; 72.860363,Fort,,"Department of Archaeology and Museums, Government of Maharashtra",,,,,,,,,,,,"Sewree, Mumbai",60 m (197 ft),,1680,,,,,,,,British,,,,,,,,,,,,,,,,,,,,
Shirgaon Fort,https://en.wikipedia.org/wiki/Shirgaon_Fort,Shirgaon Fort,"Shirgaon Fort  / Shirgao Fort (Marathi: शिरगाव  किल्ला) is a fort located 6.5km from Palghar, in Palghar district, of Maharashtra. This fort is in very good condition. The outer walls, steps, parapets, bastions etc. in solid masonry are in excellent order and worth seeing. The fort is located in the Shirgaon village.
","['/static/images/icons/wikipedia.png', '/static/images/mobile/copyright/wikipedia-wordmark-en.svg', '/static/images/mobile/copyright/wikipedia-tagline-en.svg']",19°41′46.2″N 72°42′48.6″E﻿ / ﻿19.696167°N 72.713500°E﻿ / 19.696167; 72.713500,Sea Fort,at MSL,Government of India,"Ahmadnagar (1521-1594) Portugal (1594) Maratha Confederacy (1739-1818) United Kingdom
 East India Company (1818-1857)
 British Raj (1857-1947)
 India (1947-)",Yes,Ruins,Black Basalt Stone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shrivardhan Fort,https://en.wikipedia.org/wiki/Shrivardhan_Fort,Shrivardhan Fort,"Shrivardhan Fort is one of the two hill forts that constitute the Rajmachi fortification, the other being Manaranjan Fort.[1] It is located in Rajmachi village which 8.5 km from Lonavala in the Sahyadris mountain range. At 900 m(3000 feet) above sea level it was the taller of the two peaks and was named after Shrivardhan Ganpatrao Patwardhan. Other than a rampart there is no visible construction. It was probably used at a watchtower for the Sahyadri region. There are two water tanks at the top of the hill but one of them has an iron pillar in it.[2]
","['/static/images/icons/wikipedia.png', '/static/images/mobile/copyright/wikipedia-wordmark-en.svg', '/static/images/mobile/copyright/wikipedia-tagline-en.svg']",18°49′37.8″N 73°24′00″E﻿ / ﻿18.827167°N 73.40000°E﻿ / 18.827167; 73.40000,Hill fort,3600 Ft.,Government of India,"Maratha Confederacy (1739–1818) United Kingdom
 East India Company (1818–1857)
 British Raj (1857–1947)
 India (1947-)",Yes,Ruins,Stone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
